Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04630:JAK-STAT signaling pathway	16	2.263083451202263	4.5278629812934684E-4	STAT5A, IFNAR2, IL15RA, CSF2, TSLP, IFNGR2, LIF, PIK3CD, IL27RA, IL6, SOCS1, IFNE, IL3RA, STAT6, IL6R, IRF9	326	98	5610	2.809565544009015	0.12426910189362605	0.00410516962506334	0.003376607097748345
KEGG_PATHWAY	hsa04658:Th1 and Th2 cell differentiation	12	1.6973125884016973	4.7413701002547976E-4	DLL4, STAT5A, NFKBIA, JAG1, MAML2, IFNGR2, NFATC1, STAT6, FOS, MAML3, NFKBIE, NFKB1	326	59	5610	3.5000519912654675	0.12973288734517652	0.00410516962506334	0.003376607097748345
KEGG_PATHWAY	hsa05134:Legionellosis	11	1.5558698727015559	4.7636780632134325E-4	NFKBIA, IL6, CXCL8, IL1B, CASP1, CXCL1, CXCL3, TNF, CXCL2, NFKB1, NFKB2	326	50	5610	3.785889570552147	0.13030179864935487	0.00410516962506334	0.003376607097748345
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	10	1.4144271570014144	5.34831708388098E-4	IL1A, IL6, CSF2, MME, CSF1, IL1B, ITGA1, IL3RA, IL6R, TNF	326	42	5610	4.097283085013147	0.14508019613307288	0.004477305444506078	0.0036826983349009038
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	18	2.545968882602546	6.552014324249743E-4	CXCL6, CXCL8, CCL20, PRKCD, ADCY4, PIK3CD, CXCL1, CXCL3, CXCL2, CX3CL1, PIK3CG, NFKB1, NFKBIA, CXCL10, CXCL11, CCL5, CCL2, CCR10	326	123	5610	2.518330091276373	0.1747236161395872	0.005188487018932905	0.004267663384173481
KEGG_PATHWAY	hsa04217:Necroptosis	18	2.545968882602546	6.552014324249743E-4	STAT5A, IFNAR2, IFNGR2, PLA2G4C, PLA2G4A, TNFAIP3, TNF, IL1A, CYLD, IL1B, CASP1, TNFSF10, STAT6, SQSTM1, BIRC2, IRF9, TLR3, BIRC3	326	123	5610	2.518330091276373	0.1747236161395872	0.005188487018932905	0.004267663384173481
KEGG_PATHWAY	hsa05321:Inflammatory bowel disease	9	1.272984441301273	6.900558511950343E-4	IL1A, IL6, IL1B, IFNGR2, NFATC1, STAT6, TNF, NFKB1, IL18R1	326	35	5610	4.425065731814198	0.18311434938949156	0.005320693800003817	0.004376406845736929
KEGG_PATHWAY	hsa05146:Amoebiasis	13	1.8387553041018387	7.68097147809372E-4	CXCL8, CSF2, LAMB3, PIK3CD, CXCL1, LAMC2, CXCL3, CXCL2, TNF, NFKB1, IL6, COL4A1, IL1B	326	72	5610	3.1071063394683023	0.20159471911347715	0.005770576007901179	0.004746446477488684
KEGG_PATHWAY	hsa04350:TGF-beta signaling pathway	14	1.9801980198019802	9.678425127893092E-4	SMURF1, FST, SMAD9, INHBA, LRRC32, SMAD6, THBS1, TNF, TGFBR1, SMAD7, BMP2, BAMBI, ID1, ID3	326	84	5610	2.8680981595092025	0.24701891740102933	0.00708944640618169	0.005831251139555588
KEGG_PATHWAY	hsa04931:Insulin resistance	14	1.9801980198019802	0.0013524880765476098	PRKAA2, NOS3, PRKCD, SLC2A1, PIK3CD, TNF, FOXO1, NFKB1, NFKBIA, CREB3, IL6, RPS6KA2, CREB5, PCK2	326	87	5610	2.7691982229744023	0.3273614925081402	0.00966534162020609	0.007949990888974974
KEGG_PATHWAY	hsa05133:Pertussis	11	1.5558698727015559	0.0016012969580500643	IL1A, CXCL6, IL6, CXCL8, C1S, IL1B, IRF1, CASP1, FOS, TNF, NFKB1	326	58	5610	3.263697905648403	0.3747202056544182	0.010911162993224857	0.0089747108579085
